id_municipio,ano,populacao
2507507,2018,800323
2507507,2019,809015
2510808,2009,100732
2510808,2010,101046
2510808,2011,101359
2510808,2012,102020
2510808,2013,104716
2510808,2014,105531
2510808,2015,106314
2510808,2016,107067
2510808,2017,107790
2510808,2018,106984
2510808,2019,107605
2602902,2009,171583
2602902,2010,179371
2602902,2011,187159
2602902,2012,189222
2602902,2013,196152
2602902,2014,198383
2602902,2015,200546
2602902,2016,202636
2602902,2017,204653
2602902,2018,205112
2602902,2019,207048
2604106,2009,298501
2604106,2010,309040
2604106,2011,319580
2604106,2012,324095
2604106,2013,337416
2604106,2014,342328
2604106,2015,347088
2604106,2016,351686
2604106,2017,356128
2604106,2018,356872
2604106,2019,361118
2606002,2009,131313
2606002,2010,130808
2606002,2011,130303
2606002,2012,131169
2606002,2013,135138
2606002,2014,136057
2606002,2015,136949
2606002,2016,137810
2606002,2017,138642
2606002,2018,138983
2606002,2019,139788
2610707,2009,319373
2610707,2010,311387
2610707,2011,303401
2610707,2012,306239
2610707,2013,316714
2610707,2014,319769
2610707,2015,322730
2610707,2016,325590
2610707,2017,328353
2610707,2018,329117
2610707,2019,331774
2611101,2009,281851
2611101,2010,290802
2611101,2011,299752
2611101,2012,305352
2611101,2013,319893
2611101,2014,326017
2611101,2015,331951
2611101,2016,337683
2611101,2017,343219
2611101,2018,343865
2611101,2019,349145
2614501,2009,56795
2614501,2010,57970
2614501,2011,59144
2614501,2012,59751
2614501,2013,61875
2614501,2014,62530
2614501,2015,63166
2614501,2016,63780
2614501,2017,64373
2614501,2018,64520
2614501,2019,65089
2616407,2009,126399
2616407,2010,128662
2616407,2011,130924
2616407,2012,129907
2616407,2013,133907
2616407,2014,134871
2616407,2015,135805
2616407,2016,136706
2616407,2017,137578
2616407,2018,137915
2616407,2019,138757
2700300,2009,210521
2700300,2010,213314
2700300,2011,216108
2700300,2012,218140
2700300,2013,227640
2700300,2014,229329
2700300,2015,231053
2700300,2016,232671
2700300,2017,234185
2700300,2018,230417
2700300,2019,231747
2704302,2009,936314
2704302,2010,939712
2704302,2011,943110
2704302,2012,953393
2704302,2013,996733
2704302,2014,1005319
2704302,2015,1013773
2704302,2016,1021709
2704302,2017,1029129
2704302,2018,1012382
2704302,2019,1018948
2800308,2009,544039
2800308,2010,561801
2800308,2011,579563
2800308,2012,587701
2800308,2013,614577
2800308,2014,623766
2800308,2015,632744
2800308,2016,641523
2800308,2017,650106
2800308,2018,648939
2800308,2019,657013
2802908,2009,86564
2802908,2010,87156
2802908,2011,87747
2802908,2012,88501
2802908,2013,91873
2802908,2014,92732
2802908,2015,93572
2802908,2016,94393
2802908,2017,95196
2802908,2018,94696
2802908,2019,95427
2803500,2009,92474
2803500,2010,94110
2803500,2011,95746
2803500,2012,96602
2803500,2013,100330
2803500,2014,101305
2803500,2015,102257
2803500,2016,103188
2803500,2017,104099
2803500,2018,103576
2803500,2019,104408
2804805,2009,155334
2804805,2010,159190
2804805,2011,163047
2804805,2012,165194
2804805,2013,172547
2804805,2014,174974
2804805,2015,177344
2804805,2016,179661
2804805,2017,181928
2804805,2018,181503
2804805,2019,183628
2900702,2009,137810
2900702,2010,140340
2900702,2011,142870
2900702,2012,143460
2900702,2013,152570
2900702,2014,153560
2900702,2015,154495
2900702,2016,155362
2900702,2017,155979
2900702,2018,150832
2900702,2019,151596
2903201,2009,137832
2903201,2010,138558
2903201,2011,139285
2903201,2012,141081
2903201,2013,150896
2903201,2014,152208
2903201,2015,153918
2903201,2016,155519
2903201,2017,157638
2903201,2018,153831
2903201,2019,155439
2906501,2009,81699
2906501,2010,82674
2906501,2011,83648
2906501,2012,84121
2906501,2013,89419
2906501,2014,88308
2906501,2015,88806
2906501,2016,89271
2906501,2017,89707
2906501,2018,86677
2906501,2019,87076
2910800,2009,591707
2910800,2010,577086
2910800,2011,562466
2910800,2012,568099
2910800,2013,606139
2910800,2014,612000
2910800,2015,617528
2910800,2016,622639
2910800,2017,627477
2910800,2018,609913
2910800,2019,614872
2913606,2009,219266
2913606,2010,202534
2913606,2011,185801
2913606,2012,187315
2913606,2013,184616
2913606,2014,182350
2913606,2015,180213
2913606,2016,178210
2913606,2017,176341
2913606,2018,164844
2913606,2019,162327
2914802,2009,213656
2914802,2010,209471
2914802,2011,205286
2914802,2012,205885
2914802,2013,218124
2914802,2014,218925
2914802,2015,219680
2914802,2016,220386
2914802,2017,221046
2914802,2018,212740
2914802,2019,213223
2918407,2009,243896
2918407,2010,221828
2918407,2011,199761
2918407,2012,201499
2918407,2013,214748
2918407,2014,216588
2918407,2015,218324
2918407,2016,220253
2918407,2017,221773
2918407,2018,215183
2918407,2019,216707
2924009,2009,106703
2924009,2010,108006
2924009,2011,109310
2924009,2012,110193
2924009,2013,117377
2924009,2014,118323
2924009,2015,119214
2924009,2016,119930
2924009,2017,120706
2924009,2018,117014
2924009,2019,117782
2925303,2009,122896
2925303,2010,126110
2925303,2011,129325
2925303,2012,131642
2925303,2013,141006
2925303,2014,143282
2925303,2015,145431
2925303,2016,147444
2925303,2017,149324
2925303,2018,146625
2925303,2019,148686
2928604,2009,58387
2928604,2010,58139
2928604,2011,57891
2928604,2012,57978
2928604,2013,61407
2928604,2014,61559
2928604,2015,61702
2928604,2016,61836
2928604,2017,61961
2928604,2018,59512
2928604,2019,60069
2931350,2009,125430
2931350,2010,133070
2931350,2011,140710
2931350,2012,143001
2931350,2013,153385
2931350,2014,155659
2931350,2015,157804
2931350,2016,159813
2931350,2017,161690
2931350,2018,158445
2931350,2019,160487
2933307,2009,318901
2933307,2010,314515
2933307,2011,310129
2933307,2012,315884
2933307,2013,336987
2933307,2014,340199
2933307,2015,343230
2933307,2016,346069
2933307,2017,348718
2933307,2018,338885
2933307,2019,338480
3106705,2009,441748
3106705,2010,412660
3106705,2011,383571
3106705,2012,388873
3106705,2013,406474
3106705,2014,412003
3106705,2015,417307
3106705,2016,422354
3106705,2017,427146
3106705,2018,432575
3106705,2019,439340
3118601,2009,625393
3118601,2010,617054
3118601,2011,608715
3118601,2012,613815
3118601,2013,637961
3118601,2014,643476
3118601,2015,648766
3118601,2016,653800
3118601,2017,658580
3118601,2018,659070
3118601,2019,663855
3129806,2009,157438
3129806,2010,159190
3129806,2011,160943
3129806,2012,162867
3129806,2013,169908
3129806,2014,171932
3129806,2015,173873
3129806,2016,175721
3129806,2017,177475
3129806,2018,179015
3129806,2019,180204
3144805,2009,76608
3144805,2010,79440
3144805,2011,82273
3144805,2012,83507
3144805,2013,87391
3144805,2014,88672
3144805,2015,89900
3144805,2016,91069
3144805,2017,92178
3144805,2018,93577
3144805,2019,94889
3154606,2009,349307
3154606,2010,324518
3154606,2011,299729
3154606,2012,303029
3154606,2013,315819
3154606,2014,319310
3154606,2015,322659
3154606,2016,325846
3154606,2017,328871
3154606,2018,331045
3154606,2019,334858
3156700,2009,126195
3156700,2010,126646
3156700,2011,127097
3156700,2012,127897
3156700,2013,132636
3156700,2014,133528
3156700,2015,134382
3156700,2016,135196
3156700,2017,135968
3156700,2018,135421
3156700,2019,136344
3157807,2009,231607
3157807,2010,217967
3157807,2011,204327
3157807,2012,205666
3157807,2013,213345
3157807,2014,214830
3157807,2015,216254
3157807,2016,217610
3157807,2017,218897
3157807,2018,218147
3157807,2019,219134
3170206,2009,634345
3170206,2010,623124
3170206,2011,611904
3170206,2012,619536
3170206,2013,646673
3170206,2014,654681
3170206,2015,662362
3170206,2016,669672
3170206,2017,676613
3170206,2018,683247
3170206,2019,691305
3171204,2009,101846
3171204,2010,104266
3171204,2011,106685
3171204,2012,108771
3171204,2013,114365
3171204,2014,116506
3171204,2015,118557
3171204,2016,120510
3171204,2017,122365
3171204,2018,125376
3171204,2019,127601
3200607,2009,78658
3200607,2010,80905
3200607,2011,83152
3200607,2012,84429
3200607,2013,91562
3200607,2014,93325
3200607,2015,95056
3200607,2016,96746
3200607,2017,98393
3200607,2018,99305
3200607,2019,101220
3201209,2009,201259
3201209,2010,196150
3201209,2011,191042
3201209,2012,192156
3201209,2013,205213
3201209,2014,206973
3201209,2015,208702
3201209,2016,210325
3201209,2017,211649
3201209,2018,207324
3201209,2019,208972
3201308,2009,365859
3201308,2010,358237
3201308,2011,350615
3201308,2012,352431
3201308,2013,375974
3201308,2014,378915
3201308,2015,381802
3201308,2016,384621
3201308,2017,387368
3201308,2018,378603
3201308,2019,381285
3201506,2009,111365
3201506,2010,111898
3201506,2011,112432
3201506,2012,113054
3201506,2013,120677
3201506,2014,121670
3201506,2015,122646
3201506,2016,123598
3201506,2017,124525
3201506,2018,121580
3201506,2019,122499
3202405,2009,104534
3202405,2010,105558
3202405,2011,106583
3202405,2012,107836
3202405,2013,116278
3202405,2014,118056
3202405,2015,119802
3202405,2016,121506
3202405,2017,123166
3202405,2018,122982
3202405,2019,124859
3203205,2009,132664
3203205,2010,138086
3203205,2011,143509
3203205,2012,145639
3203205,2013,157814
3203205,2014,160765
3203205,2015,163662
3203205,2016,166491
3203205,2017,169048
3203205,2018,170364
3203205,2019,173555
3203908,2009,46354
3203908,2010,46308
3203908,2011,46263
3203908,2012,46487
3203908,2013,49564
3203908,2014,49932
3203908,2015,50294
3203908,2016,50647
3203908,2017,50991
3203908,2018,49780
3203908,2019,50110
3204906,2009,101613
